Sales,Profit
261.96,41.9136
731.94,219.582
14.62,6.8714
957.5775,-383.031
22.368,2.5164
48.86,14.1694
7.28,1.9656
907.152,90.7152
18.504,5.7825
114.9,34.47
1706.184,85.3092
911.424,68.3568
15.552,5.4432
407.976,132.5922
68.81,-123.858
2.544,-3.816
665.88,13.3176
55.5,9.99
8.56,2.4824
213.48,16.011
22.72,7.384
19.46,5.0596
60.34,15.6884
71.372,-1.0196
1044.63,240.2649
11.648,4.2224
90.57,11.7741
3083.43,-1665.0522
9.618,-7.0532
124.2,15.525
3.264,1.1016
86.304,9.7092
6.858,-5.715
15.76,3.546
29.472,9.9468
1097.544,123.4737
190.92,-147.963
113.328,35.415
532.3992,-46.9764
212.058,-15.147
371.168,41.7564
147.168,16.5564
77.88,3.894
95.616,9.5616
45.98,19.7714
17.46,8.2062
211.96,8.4784
45,4.95
21.8,6.104
38.22,17.9634
75.18,35.3346
6.16,2.9568
89.99,17.0981
15.26,6.2566
1029.95,298.6855
208.56,52.14
32.4,15.552
319.41,7.098
14.56,6.9888
30,3.3
48.48,16.362
1.68,0.84
13.98,6.1512
25.824,9.3612
146.73,68.9631
79.76,22.3328
213.115,-15.2225
1113.024,111.3024
167.968,62.988
75.88,35.6636
4.616,1.731
19.05,8.763
831.936,-114.3912
97.04,1.213
72.784,-18.196
1.248,-1.9344
9.708,-5.8248
27.24,2.724
19.3,-14.475
208.16,56.2032
16.74,8.0352
14.9,4.172
21.39,6.2031
200.984,62.8075
230.376,-48.9549
301.96,33.2156
19.99,6.7966
6.16,2.9568
158.368,13.8572
20.1,6.633
73.584,8.2782
6.48,3.1104
12.96,6.2208
53.34,16.5354
32.96,16.1504
5.682,-3.788
96.53,40.5426
51.312,17.9592
77.88,22.5852
64.624,22.6184
95.976,-10.7973
1.788,-3.0396
23.92,11.7208
238.896,-26.8758
102.36,-3.8385
36.882,-25.8174
74.112,17.6016
27.992,2.0994
3.304,1.0738
339.96,67.992
41.96,10.9096
75.96,22.788
27.24,13.3476
40.096,14.5348
4.72,1.652
23.976,7.4925
130.464,44.0316
787.53,165.3813
157.794,-115.7156
47.04,18.3456
30.84,13.878
226.56,63.4368
115.02,51.759
68.04,19.7316
600.558,-8.5794
617.7,-407.682
2.388,-1.8308
243.992,30.499
81.424,-9.1602
238.56,26.2416
59.97,-11.994
78.304,29.364
21.456,6.9732
20.04,9.6192
35.44,16.6568
11.52,3.456
4.02,1.9698
76.176,26.6616
65.88,18.4464
43.12,20.6976
82.8,10.35
8.82,2.3814
10.86,5.1042
143.7,68.976
839.43,218.2518
671.93,20.1579
93.888,12.9096
384.45,103.8015
149.97,5.9988
1951.84,585.552
171.55,80.6285
157.92,17.766
203.184,15.2388
58.38,26.271
105.52,48.5392
80.88,21.0288
6.63,1.7901
457.568,51.4764
14.62,6.8714
944.93,236.2325
5.98,2.691
54.384,1.3596
28.4,13.348
27.68,9.688
9.936,2.7324
8159.952,-1359.992
275.928,-58.6347
1740.06,-24.858
32.064,6.8136
177.98,-453.849
143.976,8.9985
20.94,9.8418
110.96,53.2608
340.144,21.259
52.448,-131.12
20.16,6.552
97.264,-243.16
396.802,-11.3372
15.88,-3.7715
3.28,1.4104
24.816,1.8612
408.744,76.6395
503.96,131.0296
149.95,41.986
29,7.25
7.16,3.4368
176.8,22.984
37.224,3.7224
20.016,6.255
899.136,112.392
71.76,20.0928
51.84,24.8832
626.352,46.9764
19.9,6.567
14.28,6.7116
7.408,1.2038
6.048,1.5876
46.26,12.0276
2.946,-2.2586
16.056,5.8203
21.744,6.795
218.75,-161.875
2.6,0.2925
66.284,-178.9668
35.168,9.6712
444.768,44.4768
83.92,5.8744
131.98,35.6346
15.92,7.4824
52.29,16.2099
91.99,3.6796
20.8,6.5
23.68,8.88
452.45,-244.323
62.982,-14.6958
1188,-950.4
89.584,4.4792
93.06,26.0568
302.376,22.6782
5.584,1.8148
22.704,8.2302
19.776,-13.8432
72.704,19.0848
479.988,-383.9904
27.168,2.7168
2.2,0.968
622.45,136.939
21.98,0.2198
161.568,-28.2744
389.696,43.8408
18.648,-12.432
233.86,-102.048
620.6145,-248.2458
5.328,-3.552
258.072,0
617.976,-7.7247
10.56,4.752
25.92,9.396
419.68,-356.728
11.688,-4.6752
31.984,11.1944
177.225,-120.513
4.044,-2.8308
7.408,1.2038
2001.86,580.5394
166.72,41.68
47.88,23.94
1503.25,496.0725
25.92,12.4416
321.568,28.1372
7.61,3.5767
3347.37,636.0003
80.58,22.5624
361.92,162.864
12.132,-8.4924
82.368,-19.5624
53.92,4.044
647.904,56.6916
20.37,6.9258
221.55,6.6465
17.52,6.132
1.624,-4.466
3059.982,-509.997
2519.958,-251.9958
328.224,28.7196
79.9,35.156
14.016,4.7304
7.56,0.3024
37.208,-7.4416
57.576,21.591
725.84,210.4936
209.93,92.3692
5.28,2.3232
10.92,4.095
8.82,4.0572
5.98,1.5548
11.648,4.0768
18.176,5.9072
59.712,5.9712
24.84,8.694
2.08,-3.432
1114.4,376.11
1038.84,51.942
141.76,47.844
239.8,47.96
31.104,10.8864
254.058,-169.372
194.528,24.316
961.48,-204.3145
19.096,6.6836
18.496,6.2424
255.984,54.3966
86.97,-48.7032
300.416,78.8592
230.352,20.1558
218.352,-24.5646
78.6,-62.88
27.552,9.2988
32.4,15.552
1082.48,10.8248
56.91,27.3168
77.6,38.024
14.28,6.5688
219.075,-131.445
26.8,12.864
9.84,2.8536
45.48,20.9208
289.2,83.868
4.89,2.0049
15.136,3.5948
466.768,52.5114
15.232,1.7136
6.264,2.0358
87.54,37.6422
178.384,22.298
15.552,5.4432
99.136,8.6744
135.882,24.1568
3991.98,1995.99
275.94,80.0226
360,129.6
43.57,13.071
7.16,3.58
251.52,81.744
99.99,34.9965
15.992,0.9995
290.898,-67.8762
54.224,3.389
786.744,-258.5016
100.24,33.831
37.764,-27.6936
82.8,-20.7
20.724,-13.816
4.896,-3.4272
4.752,1.6038
959.984,335.9944
14.368,4.49
7.712,2.7956
698.352,-17.4588
4.96,2.3312
17.856,1.116
509.97,-407.976
30.992,10.0724
71.928,8.3916
88.8,-2.22
47.976,4.7976
7.56,3.0996
24.56,11.5432
12.96,4.1472
6.79,2.3086
24.56,11.5432
3.048,1.0668
49.12,23.0864
4355.168,1415.4296
388.704,-4.8588
8.26,3.7996
17.04,6.9864
34.4,15.824
36.24,11.325
647.84,168.4384
20.7,9.936
20.7,9.936
488.646,86.8704
5.56,1.4456
47.12,20.7328
211.96,8.4784
23.2,10.44
7.36,0.1472
104.79,29.3412
1043.92,271.4192
25.92,9.396
53.424,4.6746
8.16,-5.712
1023.936,179.1888
9.24,0.924
479.04,-29.94
99.136,30.98
1488.424,-297.6848
8.652,-20.3322
23.832,2.6811
12.176,-18.8728
50.96,25.48
49.536,17.3376
41.9,8.799
375.4575,-157.0095
83.976,-1.0497
482.34,-337.638
2.96,0.777
2.624,0.4264
23.36,7.884
39.98,13.5932
246.384,27.7182
1799.97,701.9883
12.462,-20.5623
75.792,25.5798
49.96,9.4924
12.96,6.2208
70.12,21.036
35.952,3.5952
2396.2656,-317.1528
131.136,-32.784
57.584,0.7198
9.568,3.4684
39.072,9.768
35.91,9.6957
179.95,37.7895
1199.976,434.9913
27.15,13.3035
1004.024,-112.9527
9.68,4.6464
28.35,13.608
55.98,27.4302
1336.829,31.4548
113.568,-18.4548
139.86,65.7342
307.136,26.8744
95.92,25.8984
383.8,38.38
5.78,2.8322
9.32,2.7028
15.25,7.015
196.752,56.5662
56.56,14.7056
32.7,8.502
866.4,225.264
28.4,11.076
287.92,138.2016
69.99,30.0957
6.672,0.5004
189.588,-145.3508
408.744,76.6395
291.96,54.7425
4.768,-0.7748
714.3,207.147
4.812,-3.6892
247.8,-18.585
1007.979,43.1991
313.488,113.6394
31.872,11.5536
207.846,2.3094
12.22,3.666
194.94,23.3928
70.95,20.5755
91.36,42.0256
242.94,29.1528
22.05,10.584
2.91,1.3677
59.52,15.4752
161.94,9.7164
263.88,71.2476
30.48,7.9248
9.84,2.8536
35.12,9.1312
